time,power,shaded_substrings
74496,8.66811243481027,0
74688,8.66811243481027,0
74880,8.66811243481027,0
75072,8.66811243481027,0
75264,8.66811243481027,0
75456,8.66811243481027,0
75648,8.66811243481027,0
75840,8.66811243481027,0
76032,8.66811243481027,0
76224,8.66811243481027,0
76416,8.66811243481027,0
76608,8.66811243481027,0
76800,8.66811243481027,0
76992,8.66811243481027,0
77184,8.66811243481027,0
77376,8.66811243481027,0
77568,8.66811243481027,0
77760,8.66811243481027,0
77952,8.66811243481027,0
78144,8.66811243481027,0
78336,8.66811243481027,0
78528,8.66811243481027,0
78720,8.66811243481027,0
78912,8.66811243481027,0
79104,8.66811243481027,0
79296,8.66811243481027,0
79488,8.66811243481027,0
79680,8.66811243481027,0
79872,8.66811243481027,0
80064,8.66811243481027,0
80256,8.66811243481027,0
80448,8.66811243481027,0
80640,8.66811243481027,0
80832,8.66811243481027,0
81024,8.66811243481027,0
81216,8.66811243481027,0
81408,8.66811243481027,0
81600,8.66811243481027,0
81792,8.66811243481027,0
81984,8.66811243481027,0
82176,8.66811243481027,0
82368,8.66811243481027,0
82560,8.66811243481027,0
82752,8.66811243481027,0
82944,8.66811243481027,0
83136,8.66811243481027,0
83328,8.66811243481027,0
83520,8.66811243481027,0
83712,8.66811243481027,0
83904,8.66811243481027,0
84096,8.66811243481027,0
84288,8.66811243481027,0
84480,8.66811243481027,0
84672,8.66811243481027,0
84864,8.66811243481027,0
85056,8.66811243481027,0
85248,8.66811243481027,0
85440,8.66811243481027,0
85632,8.66811243481027,0
85824,8.66811243481027,0
86016,8.66811243481027,0
86208,8.66811243481027,0
86400,8.66811243481027,0
86592,8.66811243481027,0
86784,8.66811243481027,0
86976,8.66811243481027,0
87168,8.66811243481027,0
87360,8.66811243481027,0
87552,8.66811243481027,0
87744,8.66811243481027,0
87936,8.66811243481027,0
88128,8.66811243481027,0
88320,8.66811243481027,0
88512,8.66811243481027,0
88704,8.66811243481027,0
88896,8.66811243481027,0
89088,8.66811243481027,0
89280,8.66811243481027,0
89472,8.66811243481027,0
89664,8.66811243481027,0
89856,8.66811243481027,0
90048,8.66811243481027,0
90240,8.66811243481027,0
90432,8.66811243481027,0
90624,8.66811243481027,0
90816,8.66811243481027,0
91008,8.66811243481027,0
91200,8.66811243481027,0
91392,8.66811243481027,0
91584,8.66811243481027,0
91776,8.66811243481027,0
91968,8.66811243481027,0
92160,8.66811243481027,0
92352,8.66811243481027,0
92544,8.66811243481027,0
92736,8.66811243481027,0
92928,8.66811243481027,0
93120,8.66811243481027,0
93312,8.66811243481027,0
