cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47
0.0,0.0,719.8959,822.7382,822.7382,822.7382,0.0,154.2634,822.7382,822.7382,822.7382,822.7382,0.0,257.1057,822.7382,822.7382,822.7382,822.7382,51.42114,514.2114,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382,822.7382
0.0,0.0,719.4656,822.2463,822.2463,822.2463,0.0,205.5616,822.2463,822.2463,822.2463,822.2463,0.0,308.3424,822.2463,822.2463,822.2463,822.2463,51.3904,462.5135,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463,822.2463
0.0,0.0,770.3737,821.7319,821.7319,821.7319,0.0,256.7912,821.7319,821.7319,821.7319,821.7319,0.0,256.7912,821.7319,821.7319,821.7319,821.7319,51.35824,462.2242,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319,821.7319
0.0,51.32468,821.1949,821.1949,821.1949,821.1949,0.0,153.974,821.1949,821.1949,821.1949,821.1949,0.0,410.5974,821.1949,821.1949,821.1949,821.1949,0.0,513.2468,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949,821.1949
0.0,51.28971,769.3457,820.6354,820.6354,820.6354,0.0,153.8691,820.6354,820.6354,820.6354,820.6354,0.0,307.7383,820.6354,820.6354,820.6354,820.6354,0.0,615.4766,820.6354,820.6354,820.6354,820.6354,615.4766,769.3457,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354,820.6354
0.0,102.5067,820.0535,820.0535,820.0535,820.0535,0.0,205.0134,820.0535,820.0535,820.0535,820.0535,0.0,307.5201,820.0535,820.0535,820.0535,820.0535,0.0,615.0402,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535,820.0535
0.0,0.0,819.4491,819.4491,819.4491,819.4491,0.0,204.8623,819.4491,819.4491,819.4491,819.4491,0.0,307.2934,819.4491,819.4491,819.4491,819.4491,0.0,665.8024,819.4491,819.4491,819.4491,819.4491,665.8024,768.2335,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491,819.4491
0.0,51.17639,818.8223,818.8223,818.8223,818.8223,0.0,409.4111,818.8223,818.8223,818.8223,818.8223,0.0,358.2347,818.8223,818.8223,818.8223,818.8223,0.0,716.4695,818.8223,818.8223,818.8223,818.8223,716.4695,767.6459,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223,818.8223
0.0,153.4074,818.1727,818.1727,818.1727,818.1727,0.0,357.9506,818.1727,818.1727,818.1727,818.1727,0.0,460.2222,818.1727,818.1727,818.1727,818.1727,0.0,562.4938,818.1727,818.1727,818.1727,818.1727,511.358,767.0369,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727,818.1727
0.0,153.2815,817.5011,817.5011,817.5011,817.5011,0.0,357.6567,817.5011,817.5011,817.5011,817.5011,0.0,408.7505,817.5011,817.5011,817.5011,817.5011,0.0,715.3135,817.5011,817.5011,817.5011,817.5011,664.2197,766.4073,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011,817.5011
0.0,102.1009,816.8068,816.8068,816.8068,816.8068,0.0,306.3026,816.8068,816.8068,816.8068,816.8068,0.0,459.4538,816.8068,816.8068,816.8068,816.8068,0.0,714.706,816.8068,816.8068,816.8068,816.8068,561.5547,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068,816.8068
0.0,255.0282,816.0902,816.0902,816.0902,816.0902,0.0,408.0451,816.0902,816.0902,816.0902,816.0902,0.0,510.0564,816.0902,816.0902,816.0902,816.0902,0.0,714.0789,816.0902,816.0902,816.0902,816.0902,306.0338,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902,816.0902
0.0,152.8784,815.3513,815.3513,815.3513,815.3513,0.0,305.7567,815.3513,815.3513,815.3513,815.3513,0.0,509.5945,815.3513,815.3513,815.3513,815.3513,0.0,611.5134,815.3513,815.3513,815.3513,815.3513,254.7973,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513,815.3513
0.0,152.7356,814.59,814.59,814.59,814.59,0.0,610.9425,814.59,814.59,814.59,814.59,0.0,661.8544,814.59,814.59,814.59,814.59,0.0,763.6782,814.59,814.59,814.59,814.59,305.4713,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59,814.59
0.0,203.4516,813.8063,813.8063,813.8063,813.8063,0.0,356.0403,813.8063,813.8063,813.8063,813.8063,0.0,661.2177,813.8063,813.8063,813.8063,813.8063,0.0,813.8063,813.8063,813.8063,813.8063,813.8063,406.9032,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063,813.8063
0.0,304.8752,813.0004,813.0004,813.0004,813.0004,0.0,406.5002,813.0004,813.0004,813.0004,813.0004,0.0,508.1253,813.0004,813.0004,813.0004,813.0004,50.81253,813.0004,813.0004,813.0004,813.0004,813.0004,254.0626,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004,813.0004
0.0,456.8469,812.1722,812.1722,812.1722,812.1722,0.0,558.3683,812.1722,812.1722,812.1722,812.1722,0.0,710.6506,812.1722,812.1722,812.1722,812.1722,101.5215,761.4114,812.1722,812.1722,812.1722,812.1722,304.5646,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722,812.1722
